Team,Stadium,Location,Capacity_raw,Season,Tier,Country,SourceURL,Capacity,City,GeoPlace,MapLabel
Newcastle United,St James' Park,Newcastle upon Tyne,52388,2019–20,1,England,https://en.wikipedia.org/wiki/2019–20_Premier_League,52388,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Norwich City,Carrow Road,Norwich,27244,2019–20,1,England,https://en.wikipedia.org/wiki/2019–20_Premier_League,27244,Norwich,"Carrow Road, Norwich, England",Carrow Road (Norwich City) — Norwich
Sheffield United,Bramall Lane,Sheffield,32125,2019–20,1,England,https://en.wikipedia.org/wiki/2019–20_Premier_League,32125,Sheffield,"Bramall Lane, Sheffield, England",Bramall Lane (Sheffield United) — Sheffield
Southampton,St Mary's Stadium,Southampton,32505,2019–20,1,England,https://en.wikipedia.org/wiki/2019–20_Premier_League,32505,Southampton,"St Mary's Stadium, Southampton, England",St Mary's Stadium (Southampton) — Southampton
Tottenham Hotspur,Tottenham Hotspur Stadium,London (Tottenham),62303,2019–20,1,England,https://en.wikipedia.org/wiki/2019–20_Premier_League,62303,London (Tottenham),"Tottenham Hotspur Stadium, London (Tottenham), England",Tottenham Hotspur Stadium (Tottenham Hotspur) — London (Tottenham)
Watford,Vicarage Road,Watford,22220,2019–20,1,England,https://en.wikipedia.org/wiki/2019–20_Premier_League,22220,Watford,"Vicarage Road, Watford, England",Vicarage Road (Watford) — Watford
West Ham United,London Stadium,London (Stratford),60000,2019–20,1,England,https://en.wikipedia.org/wiki/2019–20_Premier_League,60000,London (Stratford),"London Stadium, London (Stratford), England",London Stadium (West Ham United) — London (Stratford)
Wolverhampton Wanderers,Molineux Stadium,Wolverhampton,32050,2019–20,1,England,https://en.wikipedia.org/wiki/2019–20_Premier_League,32050,Wolverhampton,"Molineux Stadium, Wolverhampton, England",Molineux Stadium (Wolverhampton Wanderers) — Wolverhampton
Arsenal,Emirates Stadium,London (Holloway),60704,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,60704,London (Holloway),"Emirates Stadium, London (Holloway), England",Emirates Stadium (Arsenal) — London (Holloway)
Aston Villa,Villa Park,Birmingham,42682,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,42682,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Brighton & Hove Albion,Falmer Stadium,Falmer,30750,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,30750,Falmer,"Falmer Stadium, Falmer, England",Falmer Stadium (Brighton & Hove Albion) — Falmer
Burnley,Turf Moor,Burnley,"21,944",2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,21944,Burnley,"Turf Moor, Burnley, England",Turf Moor (Burnley) — Burnley
Chelsea,Stamford Bridge,London (Fulham),40834,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,40834,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Crystal Palace,Selhurst Park,London (Selhurst),25486,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,25486,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Crystal Palace) — London (Selhurst)
Everton,Goodison Park,Liverpool (Walton),39414,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,39414,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Fulham,Craven Cottage,London (Fulham),19359,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,19359,London (Fulham),"Craven Cottage, London (Fulham), England",Craven Cottage (Fulham) — London (Fulham)
Leeds United,Elland Road,Leeds,37792,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,37792,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,King Power Stadium,Leicester,32261,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,32261,Leicester,"King Power Stadium, Leicester, England",King Power Stadium (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),53394,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,53394,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,City of Manchester Stadium,Manchester (Bradford),55017,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,55017,Manchester (Bradford),"City of Manchester Stadium, Manchester (Bradford), England",City of Manchester Stadium (Manchester City) — Manchester (Bradford)
Manchester United,Old Trafford,Manchester (Old Trafford),74140,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,74140,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Newcastle United,St James' Park,Newcastle upon Tyne,52305,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,52305,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Sheffield United,Bramall Lane,Sheffield,32050,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,32050,Sheffield,"Bramall Lane, Sheffield, England",Bramall Lane (Sheffield United) — Sheffield
Southampton,St Mary's Stadium,Southampton,32384,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,32384,Southampton,"St Mary's Stadium, Southampton, England",St Mary's Stadium (Southampton) — Southampton
Tottenham Hotspur,Tottenham Hotspur Stadium,London (Tottenham),62303,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,62303,London (Tottenham),"Tottenham Hotspur Stadium, London (Tottenham), England",Tottenham Hotspur Stadium (Tottenham Hotspur) — London (Tottenham)
West Bromwich Albion,The Hawthorns,West Bromwich,26688,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,26688,West Bromwich,"The Hawthorns, West Bromwich, England",The Hawthorns (West Bromwich Albion) — West Bromwich
West Ham United,London Stadium,London (Stratford),60000,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,60000,London (Stratford),"London Stadium, London (Stratford), England",London Stadium (West Ham United) — London (Stratford)
Wolverhampton Wanderers,Molineux Stadium,Wolverhampton,32050,2020–21,1,England,https://en.wikipedia.org/wiki/2020–21_Premier_League,32050,Wolverhampton,"Molineux Stadium, Wolverhampton, England",Molineux Stadium (Wolverhampton Wanderers) — Wolverhampton
Arsenal,Emirates Stadium,London (Holloway),60704,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,60704,London (Holloway),"Emirates Stadium, London (Holloway), England",Emirates Stadium (Arsenal) — London (Holloway)
Aston Villa,Villa Park,Birmingham,42682,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,42682,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Brentford,Brentford Community Stadium,London (Brentford),17250,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,17250,London (Brentford),"Brentford Community Stadium, London (Brentford), England",Brentford Community Stadium (Brentford) — London (Brentford)
Brighton & Hove Albion,Falmer Stadium,Falmer,31800,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,31800,Falmer,"Falmer Stadium, Falmer, England",Falmer Stadium (Brighton & Hove Albion) — Falmer
Burnley,Turf Moor,Burnley,21944,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,21944,Burnley,"Turf Moor, Burnley, England",Turf Moor (Burnley) — Burnley
Chelsea,Stamford Bridge,London (Fulham),40834,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,40834,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Crystal Palace,Selhurst Park,London (Selhurst),25486,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,25486,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Crystal Palace) — London (Selhurst)
Everton,Goodison Park,Liverpool (Walton),39414,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,39414,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Leeds United,Elland Road,Leeds,37792,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,37792,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,King Power Stadium,Leicester,32312,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,32312,Leicester,"King Power Stadium, Leicester, England",King Power Stadium (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),53394,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,53394,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,City of Manchester Stadium,Manchester (Bradford),53400,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,53400,Manchester (Bradford),"City of Manchester Stadium, Manchester (Bradford), England",City of Manchester Stadium (Manchester City) — Manchester (Bradford)
Manchester United,Old Trafford,Manchester (Old Trafford),74140,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,74140,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Newcastle United,St James' Park,Newcastle upon Tyne,52305,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,52305,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Norwich City,Carrow Road,Norwich,27244,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,27244,Norwich,"Carrow Road, Norwich, England",Carrow Road (Norwich City) — Norwich
Southampton,St Mary's Stadium,Southampton,32384,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,32384,Southampton,"St Mary's Stadium, Southampton, England",St Mary's Stadium (Southampton) — Southampton
Tottenham Hotspur,Tottenham Hotspur Stadium,London (Tottenham),62850,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,62850,London (Tottenham),"Tottenham Hotspur Stadium, London (Tottenham), England",Tottenham Hotspur Stadium (Tottenham Hotspur) — London (Tottenham)
Watford,Vicarage Road,Watford,22200,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,22200,Watford,"Vicarage Road, Watford, England",Vicarage Road (Watford) — Watford
West Ham United,London Stadium,London (Stratford),60000,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,60000,London (Stratford),"London Stadium, London (Stratford), England",London Stadium (West Ham United) — London (Stratford)
Wolverhampton Wanderers,Molineux Stadium,Wolverhampton,32050,2021–22,1,England,https://en.wikipedia.org/wiki/2021–22_Premier_League,32050,Wolverhampton,"Molineux Stadium, Wolverhampton, England",Molineux Stadium (Wolverhampton Wanderers) — Wolverhampton
Arsenal,Emirates Stadium,London (Holloway),60704,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,60704,London (Holloway),"Emirates Stadium, London (Holloway), England",Emirates Stadium (Arsenal) — London (Holloway)
Aston Villa,Villa Park,Birmingham,42657,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,42657,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Bournemouth,Dean Court,Bournemouth,11307,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,11307,Bournemouth,"Dean Court, Bournemouth, England",Dean Court (Bournemouth) — Bournemouth
Brentford,Brentford Community Stadium,London (Brentford),17250,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,17250,London (Brentford),"Brentford Community Stadium, London (Brentford), England",Brentford Community Stadium (Brentford) — London (Brentford)
Brighton & Hove Albion,Falmer Stadium,Falmer,31780,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,31780,Falmer,"Falmer Stadium, Falmer, England",Falmer Stadium (Brighton & Hove Albion) — Falmer
Chelsea,Stamford Bridge,London (Fulham),40343,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,40343,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Crystal Palace,Selhurst Park,London (Selhurst),25486,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,25486,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Crystal Palace) — London (Selhurst)
Everton,Goodison Park,Liverpool (Walton),39414,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,39414,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Fulham,Craven Cottage,London (Fulham),22384,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,22384,London (Fulham),"Craven Cottage, London (Fulham), England",Craven Cottage (Fulham) — London (Fulham)
Leeds United,Elland Road,Leeds,37608,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,37608,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,King Power Stadium,Leicester,32262,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,32262,Leicester,"King Power Stadium, Leicester, England",King Power Stadium (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),53394,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,53394,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,City of Manchester Stadium,Manchester (Bradford),53400,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,53400,Manchester (Bradford),"City of Manchester Stadium, Manchester (Bradford), England",City of Manchester Stadium (Manchester City) — Manchester (Bradford)
Manchester United,Old Trafford,Manchester (Old Trafford),74310,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,74310,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Newcastle United,St James' Park,Newcastle upon Tyne,52305,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,52305,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Nottingham Forest,City Ground,West Bridgford,30332,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,30332,West Bridgford,"City Ground, West Bridgford, England",City Ground (Nottingham Forest) — West Bridgford
Southampton,St Mary's Stadium,Southampton,32384,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,32384,Southampton,"St Mary's Stadium, Southampton, England",St Mary's Stadium (Southampton) — Southampton
Tottenham Hotspur,Tottenham Hotspur Stadium,London (Tottenham),62850,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,62850,London (Tottenham),"Tottenham Hotspur Stadium, London (Tottenham), England",Tottenham Hotspur Stadium (Tottenham Hotspur) — London (Tottenham)
West Ham United,London Stadium,London (Stratford),"62,500",2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,62500,London (Stratford),"London Stadium, London (Stratford), England",London Stadium (West Ham United) — London (Stratford)
Wolverhampton Wanderers,Molineux Stadium,Wolverhampton,31750,2022–23,1,England,https://en.wikipedia.org/wiki/2022–23_Premier_League,31750,Wolverhampton,"Molineux Stadium, Wolverhampton, England",Molineux Stadium (Wolverhampton Wanderers) — Wolverhampton
Arsenal,Emirates Stadium,London (Holloway),"60,704",2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,60704,London (Holloway),"Emirates Stadium, London (Holloway), England",Emirates Stadium (Arsenal) — London (Holloway)
Aston Villa,Villa Park,Birmingham,42657,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,42657,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Bournemouth,Dean Court,Bournemouth,11307,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,11307,Bournemouth,"Dean Court, Bournemouth, England",Dean Court (Bournemouth) — Bournemouth
Brentford,Brentford Community Stadium,London (Brentford),17250,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,17250,London (Brentford),"Brentford Community Stadium, London (Brentford), England",Brentford Community Stadium (Brentford) — London (Brentford)
Brighton & Hove Albion,Falmer Stadium,Falmer,31876,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,31876,Falmer,"Falmer Stadium, Falmer, England",Falmer Stadium (Brighton & Hove Albion) — Falmer
Burnley,Turf Moor,Burnley,"21,944",2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,21944,Burnley,"Turf Moor, Burnley, England",Turf Moor (Burnley) — Burnley
Chelsea,Stamford Bridge,London (Fulham),"40,173",2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,40173,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Crystal Palace,Selhurst Park,London (Selhurst),25486,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,25486,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Crystal Palace) — London (Selhurst)
Everton,Goodison Park,Liverpool (Walton),39414,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,39414,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Fulham,Craven Cottage,London (Fulham),24500,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,24500,London (Fulham),"Craven Cottage, London (Fulham), England",Craven Cottage (Fulham) — London (Fulham)
Liverpool,Anfield,Liverpool (Anfield),61276,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,61276,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Luton Town,Kenilworth Road,Luton,"12,000",2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,12000,Luton,"Kenilworth Road, Luton, England",Kenilworth Road (Luton Town) — Luton
Manchester City,City of Manchester Stadium,Manchester (Bradford),53400,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,53400,Manchester (Bradford),"City of Manchester Stadium, Manchester (Bradford), England",City of Manchester Stadium (Manchester City) — Manchester (Bradford)
Manchester United,Old Trafford,Manchester (Old Trafford),74031,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,74031,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Newcastle United,St James' Park,Newcastle upon Tyne,52257,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,52257,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Nottingham Forest,City Ground,West Bridgford,30404,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,30404,West Bridgford,"City Ground, West Bridgford, England",City Ground (Nottingham Forest) — West Bridgford
Sheffield United,Bramall Lane,Sheffield,32050,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,32050,Sheffield,"Bramall Lane, Sheffield, England",Bramall Lane (Sheffield United) — Sheffield
Tottenham Hotspur,Tottenham Hotspur Stadium,London (Tottenham),62850,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,62850,London (Tottenham),"Tottenham Hotspur Stadium, London (Tottenham), England",Tottenham Hotspur Stadium (Tottenham Hotspur) — London (Tottenham)
West Ham United,London Stadium,London (Stratford),62500,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,62500,London (Stratford),"London Stadium, London (Stratford), England",London Stadium (West Ham United) — London (Stratford)
Wolverhampton Wanderers,Molineux Stadium,Wolverhampton,31750,2023–24,1,England,https://en.wikipedia.org/wiki/2023–24_Premier_League,31750,Wolverhampton,"Molineux Stadium, Wolverhampton, England",Molineux Stadium (Wolverhampton Wanderers) — Wolverhampton
Arsenal,Emirates Stadium,London (Holloway),60704,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,60704,London (Holloway),"Emirates Stadium, London (Holloway), England",Emirates Stadium (Arsenal) — London (Holloway)
Aston Villa,Villa Park,Birmingham,42918,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,42918,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Bournemouth,Dean Court,Bournemouth,11307,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,11307,Bournemouth,"Dean Court, Bournemouth, England",Dean Court (Bournemouth) — Bournemouth
Brentford,Brentford Community Stadium,London (Brentford),17250,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,17250,London (Brentford),"Brentford Community Stadium, London (Brentford), England",Brentford Community Stadium (Brentford) — London (Brentford)
Brighton & Hove Albion,Falmer Stadium,Falmer,31876,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,31876,Falmer,"Falmer Stadium, Falmer, England",Falmer Stadium (Brighton & Hove Albion) — Falmer
Chelsea,Stamford Bridge,London (Fulham),40173,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,40173,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Crystal Palace,Selhurst Park,London (Selhurst),25194,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,25194,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Crystal Palace) — London (Selhurst)
Everton,Goodison Park,Liverpool (Walton),39414,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,39414,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Fulham,Craven Cottage,London (Fulham),24500,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,24500,London (Fulham),"Craven Cottage, London (Fulham), England",Craven Cottage (Fulham) — London (Fulham)
Ipswich Town,Portman Road,Ipswich,30056,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,30056,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Leicester City,King Power Stadium,Leicester,32259,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,32259,Leicester,"King Power Stadium, Leicester, England",King Power Stadium (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),61276,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,61276,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,City of Manchester Stadium,Manchester (Bradford),52900,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,52900,Manchester (Bradford),"City of Manchester Stadium, Manchester (Bradford), England",City of Manchester Stadium (Manchester City) — Manchester (Bradford)
Manchester United,Old Trafford,Manchester (Old Trafford),74197,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,74197,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Newcastle United,St James' Park,Newcastle upon Tyne,52258,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,52258,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Nottingham Forest,City Ground,West Bridgford,31042,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,31042,West Bridgford,"City Ground, West Bridgford, England",City Ground (Nottingham Forest) — West Bridgford
Southampton,St Mary's Stadium,Southampton,32384,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,32384,Southampton,"St Mary's Stadium, Southampton, England",St Mary's Stadium (Southampton) — Southampton
Tottenham Hotspur,Tottenham Hotspur Stadium,London (Tottenham),62850,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,62850,London (Tottenham),"Tottenham Hotspur Stadium, London (Tottenham), England",Tottenham Hotspur Stadium (Tottenham Hotspur) — London (Tottenham)
West Ham United,London Stadium,London (Stratford),62500,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,62500,London (Stratford),"London Stadium, London (Stratford), England",London Stadium (West Ham United) — London (Stratford)
Wolverhampton Wanderers,Molineux Stadium,Wolverhampton,31750,2024–25,1,England,https://en.wikipedia.org/wiki/2024–25_Premier_League,31750,Wolverhampton,"Molineux Stadium, Wolverhampton, England",Molineux Stadium (Wolverhampton Wanderers) — Wolverhampton
Birmingham City,St Andrew's,Birmingham,25877,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,25877,Birmingham,"St Andrew's, Birmingham, England",St Andrew's (Birmingham City) — Birmingham
Bradford City,Valley Parade,Bradford,17848,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,17848,Bradford,"Valley Parade, Bradford, England",Valley Parade (Bradford City) — Bradford
Bury,Gigg Lane,Bury,11840,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,11840,Bury,"Gigg Lane, Bury, England",Gigg Lane (Bury) — Bury
Charlton Athletic,The Valley,Charlton,15815,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,15815,Charlton,"The Valley, Charlton, England",The Valley (Charlton Athletic) — Charlton
Crewe Alexandra,Gresty Road,Crewe,10153,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,10153,Crewe,"Gresty Road, Crewe, England",Gresty Road (Crewe Alexandra) — Crewe
Huddersfield Town,Alfred McAlpine Stadium,Huddersfield,24500,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,24500,Huddersfield,"Alfred McAlpine Stadium, Huddersfield, England",Alfred McAlpine Stadium (Huddersfield Town) — Huddersfield
Ipswich Town,Portman Road,Ipswich,30311,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,30311,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Manchester City,Maine Road,Manchester,35150,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,35150,Manchester,"Maine Road, Manchester, England",Maine Road (Manchester City) — Manchester
Middlesbrough,Riverside Stadium,Middlesbrough,30000,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,30000,Middlesbrough,"Riverside Stadium, Middlesbrough, England",Riverside Stadium (Middlesbrough) — Middlesbrough
Norwich City,Carrow Road,Norwich,24663,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,24663,Norwich,"Carrow Road, Norwich, England",Carrow Road (Norwich City) — Norwich
Nottingham Forest,City Ground,West Bridgford,30576,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,30576,West Bridgford,"City Ground, West Bridgford, England",City Ground (Nottingham Forest) — West Bridgford
Oxford United,Manor Ground,Oxford,9500,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,9500,Oxford,"Manor Ground, Oxford, England",Manor Ground (Oxford United) — Oxford
Port Vale,Vale Park,Burslem,19052,1997–98,2,England,https://en.wikipedia.org/wiki/1997–98_Football_League_First_Division,19052,Burslem,"Vale Park, Burslem, England",Vale Park (Port Vale) — Burslem
