Player,Season,Age,Nation,Team,Comp,Pos,PKatt,PK,PKm,Conversion%,conversion_rate
Jarrod Bowen,2024-2025,27.0,eng ENG,West Ham,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Jari Litmanen,2000-2001,29.0,fi FIN,Liverpool,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Jamie Vardy,2024-2025,37.0,eng ENG,Leicester City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Jamie Redknapp,1999-2000,26.0,eng ENG,Liverpool,EPL,MF,1.0,1.0,0.0,100.0,1.0
James Ward-Prowse,2018-2019,23.0,eng ENG,Southampton,EPL,"MF,DF",1.0,1.0,0.0,100.0,1.0
James Ward-Prowse,2015-2016,20.0,eng ENG,Southampton,EPL,MF,1.0,1.0,0.0,100.0,1.0
James Ward-Prowse,2014-2015,19.0,eng ENG,Southampton,EPL,MF,1.0,1.0,0.0,100.0,1.0
James Morrison,2013-2014,27.0,sct SCO,West Brom,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
James Morrison,2012-2013,26.0,sct SCO,West Brom,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
James Milner,2015-2016,29.0,eng ENG,Liverpool,EPL,"DF,MF",1.0,1.0,0.0,100.0,1.0
James Milner,2011-2012,25.0,eng ENG,Manchester City,EPL,"DF,MF",1.0,1.0,0.0,100.0,1.0
James Mcatee,2023-2024,20.0,eng ENG,2 Teams,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
James Beattie,2008-2009,30.0,eng ENG,Stoke City,EPL,FW,1.0,1.0,0.0,100.0,1.0
James Beattie,2009-2010,31.0,eng ENG,Stoke City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Jacob Bruun Larsen,2023-2024,24.0,dk DEN,Burnley,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
Jô,2008-2009,21.0,br BRA,2 Teams,EPL,FW,1.0,1.0,0.0,100.0,1.0
Ivan Klasnić,2011-2012,31.0,hr CRO,Bolton,EPL,FW,1.0,1.0,0.0,100.0,1.0
Islam Slimani,2016-2017,28.0,dz ALG,Leicester City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Ilie Dumitrescu,1994-1995,25.0,ro ROU,Tottenham,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Igor Bališ,2002-2003,32.0,sk SVK,West Brom,EPL,"DF,MF",1.0,1.0,0.0,100.0,1.0
Ian Wright,1997-1998,33.0,eng ENG,Arsenal,EPL,FW,1.0,1.0,0.0,100.0,1.0
Ian Rush,1994-1995,32.0,wls WAL,Liverpool,EPL,FW,1.0,1.0,0.0,100.0,1.0
Ian Harte,2003-2004,25.0,ie IRL,Leeds United,EPL,DF,1.0,1.0,0.0,100.0,1.0
Ian Harte,2002-2003,24.0,ie IRL,Leeds United,EPL,DF,1.0,1.0,0.0,100.0,1.0
Ian Harte,2001-2002,23.0,ie IRL,Leeds United,EPL,DF,1.0,1.0,0.0,100.0,1.0
Hwang Hee-chan,2023-2024,27.0,kr KOR,Wolves,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Henri Camara,2006-2007,29.0,sn SEN,Wigan Athletic,EPL,FW,1.0,1.0,0.0,100.0,1.0
Heiðar Helguson,2006-2007,28.0,is ISL,Fulham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Hatem Ben Arfa,2013-2014,26.0,fr FRA,Newcastle Utd,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Hassan Yebda,2009-2010,25.0,dz ALG,Portsmouth,EPL,MF,1.0,1.0,0.0,100.0,1.0
Harry Kewell,2006-2007,27.0,au AUS,Liverpool,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Hameur Bouazza,2006-2007,21.0,dz ALG,Watford,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Hal Robson-Kanu,2012-2013,23.0,wls WAL,Reading,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Hámilton Ricard,1998-1999,24.0,co COL,Middlesbrough,EPL,FW,1.0,1.0,0.0,100.0,1.0
Hámilton Ricard,2000-2001,26.0,co COL,Middlesbrough,EPL,FW,1.0,1.0,0.0,100.0,1.0
Gylfi Sigurðsson,2019-2020,29.0,is ISL,Everton,EPL,MF,1.0,1.0,0.0,100.0,1.0
Gus Poyet,1997-1998,29.0,uy URU,Chelsea,EPL,MF,1.0,1.0,0.0,100.0,1.0
Graham Stuart,1993-1994,22.0,eng ENG,Everton,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Graham Stuart,1998-1999,27.0,eng ENG,Charlton Ath,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Graham Kavanagh,1995-1996,21.0,ie IRL,Middlesbrough,EPL,MF,1.0,1.0,0.0,100.0,1.0
Graham Dorrans,2012-2013,25.0,sct SCO,West Brom,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Glenn Murray,2013-2014,29.0,eng ENG,Crystal Palace,EPL,FW,1.0,1.0,0.0,100.0,1.0
Gianluca Vialli,1996-1997,32.0,it ITA,Chelsea,EPL,FW,1.0,1.0,0.0,100.0,1.0
Gianfranco Zola,1997-1998,31.0,it ITA,Chelsea,EPL,FW,1.0,1.0,0.0,100.0,1.0
Gerard Deulofeu,2019-2020,25.0,es ESP,Watford,EPL,FW,1.0,1.0,0.0,100.0,1.0
Geovanni,2008-2009,28.0,br BRA,Hull City,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Georgios Samaras,2006-2007,21.0,gr GRE,Manchester City,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Georginio Wijnaldum,2015-2016,24.0,nl NED,Newcastle Utd,EPL,MF,1.0,1.0,0.0,100.0,1.0
Gary McAllister,2000-2001,35.0,sct SCO,Liverpool,EPL,MF,1.0,1.0,0.0,100.0,1.0
Gary McAllister,1993-1994,28.0,sct SCO,Leeds United,EPL,MF,1.0,1.0,0.0,100.0,1.0
Gary Hooper,2013-2014,25.0,eng ENG,Norwich City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Garry Parker,1992-1993,26.0,eng ENG,Aston Villa,EPL,MF,1.0,1.0,0.0,100.0,1.0
Garry Parker,1998-1999,32.0,eng ENG,Leicester City,EPL,MF,1.0,1.0,0.0,100.0,1.0
Gareth Southgate,1999-2000,28.0,eng ENG,Aston Villa,EPL,DF,1.0,1.0,0.0,100.0,1.0
Gareth Barry,2003-2004,22.0,eng ENG,Aston Villa,EPL,MF,1.0,1.0,0.0,100.0,1.0
Gabriel Martinelli,2021-2022,20.0,br BRA,Arsenal,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Gabriel Jesus,2016-2017,19.0,br BRA,Manchester City,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Gabriel Jesus,2018-2019,21.0,br BRA,Manchester City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Gabriel Jesus,2022-2023,25.0,br BRA,Arsenal,EPL,FW,1.0,1.0,0.0,100.0,1.0
Gabriel Jesus,2021-2022,24.0,br BRA,Manchester City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Frank Leboeuf,1999-2000,31.0,fr FRA,Chelsea,EPL,DF,1.0,1.0,0.0,100.0,1.0
Frank Lampard,1998-1999,20.0,eng ENG,West Ham,EPL,MF,1.0,1.0,0.0,100.0,1.0
Frank Lampard,2000-2001,22.0,eng ENG,West Ham,EPL,MF,1.0,1.0,0.0,100.0,1.0
Frédéric Piquionne,2010-2011,31.0,fr FRA,West Ham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Fernando Torres,2012-2013,28.0,es ESP,Chelsea,EPL,FW,1.0,1.0,0.0,100.0,1.0
Fabio Vieira,2023-2024,23.0,pt POR,Arsenal,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
Fabio Borini,2015-2016,24.0,it ITA,Sunderland,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Fabian Schär,2020-2021,28.0,ch SUI,Newcastle Utd,EPL,DF,1.0,1.0,0.0,100.0,1.0
Fábio Silva,2020-2021,18.0,pt POR,Wolves,EPL,FW,1.0,1.0,0.0,100.0,1.0
Emre Belözoğlu,2006-2007,25.0,tr TUR,Newcastle Utd,EPL,MF,1.0,1.0,0.0,100.0,1.0
Emmanuel Eboué,2008-2009,25.0,ci CIV,Arsenal,EPL,"DF,MF",1.0,1.0,0.0,100.0,1.0
Emmanuel Adebayor,2010-2011,26.0,tg TOG,Manchester City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Emmanuel Adebayor,2008-2009,24.0,tg TOG,Arsenal,EPL,FW,1.0,1.0,0.0,100.0,1.0
Emmanuel Adebayor,2006-2007,22.0,tg TOG,Arsenal,EPL,FW,1.0,1.0,0.0,100.0,1.0
Eiður Guðjohnsen,2004-2005,25.0,is ISL,Chelsea,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Edu Gaspar,2004-2005,26.0,br BRA,Arsenal,EPL,MF,1.0,1.0,0.0,100.0,1.0
Eberechi Eze,2023-2024,25.0,eng ENG,Crystal Palace,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
Eberechi Eze,2022-2023,24.0,eng ENG,Crystal Palace,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
Dwight Yorke,2002-2003,30.0,tt TRI,Blackburn,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Dwight Gayle,2013-2014,22.0,eng ENG,Crystal Palace,EPL,FW,1.0,1.0,0.0,100.0,1.0
Dwight Gayle,2014-2015,23.0,eng ENG,Crystal Palace,EPL,FW,1.0,1.0,0.0,100.0,1.0
Duncan Ferguson,2003-2004,31.0,sct SCO,Everton,EPL,FW,1.0,1.0,0.0,100.0,1.0
Dušan Tadić,2015-2016,26.0,rs SRB,Southampton,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Dušan Tadić,2017-2018,28.0,rs SRB,Southampton,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
Dominic Calvert-Lewin,2022-2023,25.0,eng ENG,Everton,EPL,FW,1.0,1.0,0.0,100.0,1.0
Djibril Cissé,2008-2009,26.0,fr FRA,Sunderland,EPL,FW,1.0,1.0,0.0,100.0,1.0
Djibril Cissé,2004-2005,22.0,fr FRA,Liverpool,EPL,FW,1.0,1.0,0.0,100.0,1.0
Dirk Kuyt,2009-2010,29.0,nl NED,Liverpool,EPL,"DF,FW",1.0,1.0,0.0,100.0,1.0
Dion Dublin,2000-2001,31.0,eng ENG,Aston Villa,EPL,"DF,FW",1.0,1.0,0.0,100.0,1.0
Dimitar Berbatov,2007-2008,26.0,bg BUL,Tottenham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Diego Costa,2014-2015,25.0,es ESP,Chelsea,EPL,FW,1.0,1.0,0.0,100.0,1.0
Didier Drogba,2011-2012,33.0,ci CIV,Chelsea,EPL,FW,1.0,1.0,0.0,100.0,1.0
Didier Drogba,2009-2010,31.0,ci CIV,Chelsea,EPL,FW,1.0,1.0,0.0,100.0,1.0
Deon Burton,2000-2001,23.0,jm JAM,Derby County,EPL,FW,1.0,1.0,0.0,100.0,1.0
Denny Landzaat,2007-2008,31.0,nl NED,Wigan Athletic,EPL,MF,1.0,1.0,0.0,100.0,1.0
Dennis Wise,1992-1993,25.0,eng ENG,Chelsea,EPL,MF,1.0,1.0,0.0,100.0,1.0
Dennis Wise,1997-1998,30.0,eng ENG,Chelsea,EPL,MF,1.0,1.0,0.0,100.0,1.0
Demba Ba,2012-2013,27.0,sn SEN,2 Teams,EPL,FW,1.0,1.0,0.0,100.0,1.0
Dele Alli,2016-2017,20.0,eng ENG,Tottenham,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Dele Alli,2019-2020,23.0,eng ENG,Tottenham,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
Dele Alli,2021-2022,25.0,eng ENG,2 Teams,EPL,MF,1.0,1.0,0.0,100.0,1.0
Dean Saunders,1994-1995,30.0,wls WAL,Aston Villa,EPL,FW,1.0,1.0,0.0,100.0,1.0
Dean Holdsworth,1995-1996,26.0,eng ENG,Wimbledon,EPL,FW,1.0,1.0,0.0,100.0,1.0
Dean Ashton,2004-2005,20.0,eng ENG,Norwich City,EPL,FW,1.0,1.0,0.0,100.0,1.0
David Unsworth,2001-2002,27.0,eng ENG,Everton,EPL,DF,1.0,1.0,0.0,100.0,1.0
David Nugent,2014-2015,29.0,eng ENG,Leicester City,EPL,FW,1.0,1.0,0.0,100.0,1.0
David Hirst,1992-1993,24.0,eng ENG,Sheffield Weds,EPL,FW,1.0,1.0,0.0,100.0,1.0
David Hirst,1997-1998,29.0,eng ENG,2 Teams,EPL,FW,1.0,1.0,0.0,100.0,1.0
David Dunn,2010-2011,30.0,eng ENG,Blackburn,EPL,MF,1.0,1.0,0.0,100.0,1.0
David Dunn,2001-2002,21.0,eng ENG,Blackburn,EPL,MF,1.0,1.0,0.0,100.0,1.0
David Beckham,2000-2001,25.0,eng ENG,Manchester Utd,EPL,MF,1.0,1.0,0.0,100.0,1.0
David Beckham,2001-2002,26.0,eng ENG,Manchester Utd,EPL,MF,1.0,1.0,0.0,100.0,1.0
Darren Huckerby,2000-2001,24.0,eng ENG,2 Teams,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Darren Bent,2008-2009,24.0,eng ENG,Tottenham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Darren Anderton,1999-2000,27.0,eng ENG,Tottenham,EPL,MF,1.0,1.0,0.0,100.0,1.0
Darius Vassell,2002-2003,22.0,eng ENG,Aston Villa,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Darius Vassell,2003-2004,23.0,eng ENG,Aston Villa,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Darius Henderson,2006-2007,24.0,eng ENG,Watford,EPL,FW,1.0,1.0,0.0,100.0,1.0
Danny Murphy,2005-2006,28.0,eng ENG,2 Teams,EPL,MF,1.0,1.0,0.0,100.0,1.0
Danny Ings,2021-2022,29.0,eng ENG,Aston Villa,EPL,FW,1.0,1.0,0.0,100.0,1.0
Danny Ings,2014-2015,22.0,eng ENG,Burnley,EPL,FW,1.0,1.0,0.0,100.0,1.0
Danny Higginbotham,2001-2002,22.0,gi GIB,Derby County,EPL,DF,1.0,1.0,0.0,100.0,1.0
Danny Higginbotham,2008-2009,29.0,gi GIB,2 Teams,EPL,DF,1.0,1.0,0.0,100.0,1.0
Danny Guthrie,2008-2009,21.0,eng ENG,Newcastle Utd,EPL,MF,1.0,1.0,0.0,100.0,1.0
Danny Graham,2011-2012,25.0,eng ENG,Swansea City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Daniel Sturridge,2008-2009,18.0,eng ENG,Manchester City,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Daniel Sturridge,2012-2013,22.0,eng ENG,2 Teams,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Craig Maskell,1993-1994,25.0,eng ENG,2 Teams,EPL,FW,1.0,1.0,0.0,100.0,1.0
Craig Gardner,2010-2011,23.0,eng ENG,Birmingham City,EPL,MF,1.0,1.0,0.0,100.0,1.0
Craig Gardner,2013-2014,26.0,eng ENG,Sunderland,EPL,MF,1.0,1.0,0.0,100.0,1.0
Craig Fagan,2009-2010,26.0,eng ENG,Hull City,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Craig Bellamy,2005-2006,26.0,wls WAL,Blackburn,EPL,FW,1.0,1.0,0.0,100.0,1.0
Connor Wickham,2015-2016,22.0,eng ENG,Crystal Palace,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Collins John,2005-2006,19.0,nl NED,Fulham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Clint Dempsey,2009-2010,26.0,us USA,Fulham,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Claus Jensen,2000-2001,23.0,dk DEN,Charlton Ath,EPL,MF,1.0,1.0,0.0,100.0,1.0
Christian Ziege,1999-2000,27.0,de GER,Middlesbrough,EPL,"DF,MF",1.0,1.0,0.0,100.0,1.0
Christian Benteke,2015-2016,24.0,be BEL,Liverpool,EPL,FW,1.0,1.0,0.0,100.0,1.0
Christian Benteke,2014-2015,23.0,be BEL,Aston Villa,EPL,FW,1.0,1.0,0.0,100.0,1.0
Chris Wood,2019-2020,27.0,nz NZL,Burnley,EPL,FW,1.0,1.0,0.0,100.0,1.0
Chris Wood,2021-2022,29.0,nz NZL,2 Teams,EPL,FW,1.0,1.0,0.0,100.0,1.0
Chris Wood,2022-2023,30.0,nz NZL,2 Teams,EPL,FW,1.0,1.0,0.0,100.0,1.0
Chris Sutton,1993-1994,20.0,eng ENG,Norwich City,EPL,"DF,FW",1.0,1.0,0.0,100.0,1.0
Chris Bart-Williams,2002-2003,28.0,eng ENG,Charlton Ath,EPL,"DF,MF",1.0,1.0,0.0,100.0,1.0
Chris Armstrong,1996-1997,25.0,eng ENG,Tottenham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Charlie Austin,2017-2018,28.0,eng ENG,Southampton,EPL,FW,1.0,1.0,0.0,100.0,1.0
Charlie Adam,2013-2014,27.0,sct SCO,Stoke City,EPL,MF,1.0,1.0,0.0,100.0,1.0
Charlie Adam,2014-2015,28.0,sct SCO,Stoke City,EPL,MF,1.0,1.0,0.0,100.0,1.0
Charlie Adam,2016-2017,30.0,sct SCO,Stoke City,EPL,MF,1.0,1.0,0.0,100.0,1.0
Carlton Cole,2009-2010,25.0,eng ENG,West Ham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Carlos Tevez,2006-2007,22.0,ar ARG,West Ham,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Callum Wilson,2015-2016,23.0,eng ENG,Bournemouth,EPL,FW,1.0,1.0,0.0,100.0,1.0
Bukayo Saka,2024-2025,22.0,eng ENG,Arsenal,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Bryan Roy,1995-1996,25.0,nl NED,Nott'ham Forest,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Bryan Mbeumo,2021-2022,21.0,cm CMR,Brentford,EPL,FW,1.0,1.0,0.0,100.0,1.0
Bryan Mbeumo,2022-2023,22.0,cm CMR,Brentford,EPL,FW,1.0,1.0,0.0,100.0,1.0
Brian McClair,1994-1995,30.0,sct SCO,Manchester Utd,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Brian Deane,1999-2000,31.0,eng ENG,Middlesbrough,EPL,FW,1.0,1.0,0.0,100.0,1.0
Brian Borrows,1992-1993,31.0,eng ENG,Coventry City,EPL,DF,1.0,1.0,0.0,100.0,1.0
Branko Strupar,2000-2001,30.0,be BEL,Derby County,EPL,FW,1.0,1.0,0.0,100.0,1.0
Boudewijn Zenden,2004-2005,27.0,nl NED,Middlesbrough,EPL,"DF,FW",1.0,1.0,0.0,100.0,1.0
Boncho Genchev,1993-1994,29.0,bg BUL,Ipswich Town,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Bojan Krkić,2014-2015,23.0,es ESP,Stoke City,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Bobby Zamora,2011-2012,30.0,eng ENG,2 Teams,EPL,FW,1.0,1.0,0.0,100.0,1.0
Bobby Zamora,2010-2011,29.0,eng ENG,Fulham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Bobby Reid,2018-2019,25.0,jm JAM,Cardiff City,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Benito Carbone,1999-2000,27.0,it ITA,2 Teams,EPL,FW,1.0,1.0,0.0,100.0,1.0
Ben Brereton,2023-2024,24.0,cl CHI,Sheffield Utd,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Barry Bannan,2011-2012,21.0,sct SCO,Aston Villa,EPL,MF,1.0,1.0,0.0,100.0,1.0
Bafétimbi Gomis,2015-2016,29.0,fr FRA,Swansea City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Ayoze Pérez,2019-2020,26.0,es ESP,Leicester City,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
Ashley Ward,1994-1995,23.0,eng ENG,Norwich City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Ashley Barnes,2019-2020,29.0,eng ENG,Burnley,EPL,FW,1.0,1.0,0.0,100.0,1.0
Ashley Barnes,2021-2022,31.0,eng ENG,Burnley,EPL,FW,1.0,1.0,0.0,100.0,1.0
Ashley Barnes,2020-2021,30.0,eng ENG,Burnley,EPL,FW,1.0,1.0,0.0,100.0,1.0
Anwar El Ghazi,2021-2022,26.0,nl NED,2 Teams,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Anwar El Ghazi,2019-2020,24.0,nl NED,Aston Villa,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Antoine Sibierski,2004-2005,29.0,fr FRA,Manchester City,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Antoine Sibierski,2007-2008,32.0,fr FRA,Wigan Athletic,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Anthony Martial,2022-2023,26.0,fr FRA,Manchester Utd,EPL,FW,1.0,1.0,0.0,100.0,1.0
Anthony Martial,2018-2019,22.0,fr FRA,Manchester Utd,EPL,FW,1.0,1.0,0.0,100.0,1.0
Anthony Martial,2017-2018,21.0,fr FRA,Manchester Utd,EPL,FW,1.0,1.0,0.0,100.0,1.0
Anthony Gordon,2023-2024,22.0,eng ENG,Newcastle Utd,EPL,FW,1.0,1.0,0.0,100.0,1.0
Andy Carroll,2012-2013,23.0,eng ENG,2 Teams,EPL,FW,1.0,1.0,0.0,100.0,1.0
Andy Carroll,2015-2016,26.0,eng ENG,West Ham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Andros Townsend,2021-2022,30.0,eng ENG,Everton,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
Andros Townsend,2014-2015,23.0,eng ENG,Tottenham,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Andriy Shevchenko,2007-2008,30.0,ua UKR,Chelsea,EPL,FW,1.0,1.0,0.0,100.0,1.0
Andrey Arshavin,2010-2011,29.0,ru RUS,Arsenal,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Andrew Johnson,2006-2007,25.0,eng ENG,Everton,EPL,FW,1.0,1.0,0.0,100.0,1.0
Andrei Kanchelskis,1996-1997,27.0,ru RUS,Everton,EPL,"DF,MF",1.0,1.0,0.0,100.0,1.0
Andreas Pereira,2022-2023,26.0,br BRA,Fulham,EPL,MF,1.0,1.0,0.0,100.0,1.0
Ander Herrera,2015-2016,25.0,es ESP,Manchester Utd,EPL,MF,1.0,1.0,0.0,100.0,1.0
Alexis Mac Allister,2023-2024,24.0,ar ARG,Liverpool,EPL,MF,1.0,1.0,0.0,100.0,1.0
Alexandre Pato,2015-2016,25.0,br BRA,Chelsea,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Aleksandar Mitrović,2018-2019,23.0,rs SRB,Fulham,EPL,FW,1.0,1.0,0.0,100.0,1.0
Alan Thompson,1995-1996,21.0,eng ENG,Bolton,EPL,MF,1.0,1.0,0.0,100.0,1.0
Alan Smith,2003-2004,22.0,eng ENG,Leeds United,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Afonso Alves,2008-2009,27.0,br BRA,Middlesbrough,EPL,"FW,MF",1.0,1.0,0.0,100.0,1.0
Adam Johnson,2013-2014,26.0,eng ENG,Sunderland,EPL,MF,1.0,1.0,0.0,100.0,1.0
Adam Johnson,2014-2015,27.0,eng ENG,Sunderland,EPL,MF,1.0,1.0,0.0,100.0,1.0
Adam Johnson,2015-2016,28.0,eng ENG,Sunderland,EPL,MF,1.0,1.0,0.0,100.0,1.0
Abel Hernández,2014-2015,23.0,uy URU,Hull City,EPL,FW,1.0,1.0,0.0,100.0,1.0
Aaron Mooy,2017-2018,26.0,au AUS,Huddersfield,EPL,MF,1.0,1.0,0.0,100.0,1.0
Aaron Mooy,2018-2019,27.0,au AUS,Huddersfield,EPL,"MF,FW",1.0,1.0,0.0,100.0,1.0
İlkay Gündoğan,2017-2018,26.0,de GER,Manchester City,EPL,MF,1.0,1.0,0.0,100.0,1.0
Predrag Mijatović,1999-2000,30.0,rs SRB,Fiorentina,CL,,1.0,1.0,0.0,100.0,1.0
Paul Scholes,1999-2000,24.0,eng ENG,Manchester Utd,CL,,1.0,1.0,0.0,100.0,1.0
Enrico Chiesa,1999-2000,28.0,it ITA,Fiorentina,CL,,1.0,1.0,0.0,100.0,1.0
Raúl,1999-2000,22.0,es ESP,Real Madrid,CL,,1.0,1.0,0.0,100.0,1.0
Fernando Hierro,1999-2000,31.0,es ESP,Real Madrid,CL,,1.0,1.0,0.0,100.0,1.0
Sávio,1999-2000,25.0,br BRA,Real Madrid,CL,,1.0,1.0,0.0,100.0,1.0
Tomo Šokota,1999-2000,22.0,hr CRO,Croatia Zagreb,CL,,1.0,1.0,0.0,100.0,1.0
Michael Mols,1999-2000,28.0,nl NED,Rangers,CL,,1.0,1.0,0.0,100.0,1.0
Martin Prohászka,1999-2000,25.0,sk SVK,Sparta Prague,CL,,1.0,1.0,0.0,100.0,1.0
Gheorghe Hagi,1999-2000,34.0,ro ROU,Galatasaray,CL,,1.0,1.0,0.0,100.0,1.0
Thomas Strunz,1999-2000,31.0,de GER,Bayern Munich,CL,,1.0,1.0,0.0,100.0,1.0
Ümit Davala,1999-2000,26.0,tr TUR,Galatasaray,CL,,1.0,1.0,0.0,100.0,1.0
Kjetil Rekdal,1999-2000,30.0,no NOR,Hertha BSC,CL,,1.0,1.0,0.0,100.0,1.0
Paulo Sérgio,1999-2000,30.0,br BRA,Bayern Munich,CL,,1.0,1.0,0.0,100.0,1.0
Paul Scholes,2000-2001,25.0,eng ENG,Manchester Utd,CL,,1.0,1.0,0.0,100.0,1.0
Hennadiy Zubov,2000-2001,22.0,ua UKR,Shakhtar Donetsk,CL,,1.0,1.0,0.0,100.0,1.0
Sonny Anderson,2000-2001,29.0,br BRA,Lyon,CL,,1.0,1.0,0.0,100.0,1.0
Filippo Inzaghi,2000-2001,26.0,it ITA,Juventus,CL,,1.0,1.0,0.0,100.0,1.0
Laurent Robert,2000-2001,25.0,fr FRA,Paris S-G,CL,,1.0,1.0,0.0,100.0,1.0
Marco Simone,2000-2001,31.0,it ITA,Monaco,CL,,1.0,1.0,0.0,100.0,1.0
Vladimír Labant,2000-2001,26.0,sk SVK,Sparta Prague,CL,,1.0,1.0,0.0,100.0,1.0
Ricardo Sá Pinto,2000-2001,27.0,pt POR,Sporting CP,CL,,1.0,1.0,0.0,100.0,1.0
Hans-Jörg Butt,2000-2001,26.0,de GER,Hamburger SV,CL,,1.0,1.0,0.0,100.0,1.0
Rivaldo,2000-2001,28.0,br BRA,Barcelona,CL,,1.0,1.0,0.0,100.0,1.0
Predrag Đorđević,2000-2001,27.0,rs SRB,Olympiacos,CL,,1.0,1.0,0.0,100.0,1.0
Tayfur Havutçu,2000-2001,30.0,tr TUR,Beşiktaş,CL,,1.0,1.0,0.0,100.0,1.0
Mehmet Scholl,2000-2001,29.0,de GER,Bayern Munich,CL,,1.0,1.0,0.0,100.0,1.0
Bent Skammelsrud,2000-2001,34.0,no NOR,Rosenborg,CL,,1.0,1.0,0.0,100.0,1.0
Stefan Effenberg,2000-2001,31.0,de GER,Bayern Munich,CL,,1.0,1.0,0.0,100.0,1.0
Siniša Mihajlović,2000-2001,31.0,rs SRB,Lazio,CL,,1.0,1.0,0.0,100.0,1.0
Gaizka Mendieta,2000-2001,26.0,es ESP,Valencia,CL,,1.0,1.0,0.0,100.0,1.0
Ergün Penbe,2000-2001,28.0,tr TUR,Galatasaray,CL,,1.0,1.0,0.0,100.0,1.0
